"id","textfragment_id","textexpression_id"
2633,527,3
2634,528,3
2635,529,3
2636,530,3
2637,531,3
2638,532,3
2639,533,3
2640,534,3
2641,535,3
2642,536,3
2643,537,3
2644,538,3
2645,539,3
2646,540,3
2647,541,3
2648,542,3
2649,543,3
2650,544,3
2651,545,3
2652,546,3
2653,547,3
2654,548,3
2655,549,3
2656,550,3
2657,551,3
2658,552,3
2659,553,3
2660,554,3
2661,555,3
2662,556,3
2663,557,3
2664,558,3
2665,559,3
2666,560,3
2667,561,3
2668,562,3
2669,563,3
2670,564,3
2671,565,3
2672,566,3
2673,567,3
2674,568,3
2675,569,3
2676,570,3
2677,571,3
2678,572,3
2679,573,3
2680,574,3
2681,575,3
2682,576,3
2683,577,3
2684,578,3
2685,579,3
2686,580,3
2687,581,3
2688,582,3
2689,583,3
2690,584,3
2691,585,3
2692,586,3
2693,587,3
2694,588,3
2695,589,3
2696,590,3
2697,591,3
2698,592,3
2699,593,3
2700,594,3
2701,595,3
2702,596,3
2703,597,3
2704,598,3
2705,599,3
2706,600,3
2707,601,3
2708,602,3
2709,603,3
2710,604,3
2711,605,3
2712,606,3
2713,607,3
2714,608,3
2715,609,3
2716,610,3
2717,611,3
2718,612,3
2719,613,3
2720,614,3
2721,615,3
2722,616,3
2723,617,3
2724,618,3
2725,619,3
2726,620,3
2727,621,3
2728,622,3
2729,623,3
2730,624,3
2731,625,3
2732,626,3
2733,627,3
2734,628,3
2735,629,3
2736,630,3
2737,631,3
2738,632,3
2739,633,3
2740,634,3
2741,635,3
2742,636,3
2743,637,3
2744,638,3
2745,639,3
2746,640,3
2747,641,3
2748,642,3
2749,643,3
2750,644,3
2751,645,3
2752,646,3
2753,647,3
2754,648,3
2755,649,3
2756,650,3
2757,651,3
2758,652,3
2759,653,3
2760,654,3
2761,655,3
2762,656,3
2763,657,3
2764,658,3
2765,659,3
2766,660,3
2767,661,3
2768,662,3
2769,663,3
2770,664,3
2771,665,3
2772,666,3
2773,667,3
2774,668,3
2775,669,3
2776,670,3
2777,671,3
2778,672,3
2779,673,3
2780,674,3
2781,675,3
2782,676,3
2783,677,3
2784,678,3
2785,679,3
2786,680,3
2787,681,3
2788,682,3
2789,683,3
2790,684,3
2791,685,3
2792,686,3
2793,687,3
2794,688,3
2795,689,3
2796,690,3
2797,691,3
2798,692,3
2799,693,3
2800,694,3
2801,695,3
2802,696,3
2803,697,3
2804,698,3
2805,699,3
2806,700,3
2807,701,3
2808,702,3
2809,703,3
2810,704,3
2811,705,3
2812,706,3
2813,707,3
2814,708,3
2815,709,3
2816,710,3
2817,711,3
2818,712,3
2819,713,3
2820,714,3
2821,715,3
2822,716,3
2823,717,3
2824,718,3
2825,719,3
2826,720,3
2827,721,3
2828,722,3
2829,723,3
2830,724,3
2831,725,3
2832,726,3
2833,727,3
2834,728,3
2835,729,3
2836,730,3
2837,731,3
2838,732,3
2839,733,3
2840,734,3
2841,735,3
2842,736,3
2843,737,3
2844,738,3
2845,739,3
2846,740,3
2847,741,3
2848,742,3
2849,743,3
2850,744,3
2851,745,3
2852,746,3
2853,747,3
2854,748,3
2855,749,3
2856,750,3
2857,751,3
2858,752,3
2859,753,3
2860,754,3
2861,755,3
2862,756,3
2863,757,3
2864,758,3
2865,759,3
2866,760,3
2867,761,3
2868,762,3
2869,763,3
2870,764,3
2871,765,3
2872,766,3
2873,767,3
2874,768,3
2875,769,3
2876,770,3
2877,771,3
2878,772,3
2879,773,3
2880,774,3
2881,775,3
2882,776,3
2883,777,3
2884,778,3
2885,779,3
2886,780,3
2887,781,3
2888,782,3
2889,783,3
2890,784,3
2891,785,3
2892,786,3
2893,787,3
2894,788,3
2895,789,3
2896,790,3
2897,791,3
2898,792,3
2899,793,3
2900,794,3
2901,795,3
2902,796,3
2903,797,3
2904,798,3
2905,799,3
2906,800,3
2907,801,3
2908,802,3
2909,803,3
2910,804,3
2911,805,3
2912,806,3
2913,807,3
2914,808,3
2915,809,3
2916,810,3
2917,811,3
2918,812,3
2919,813,3
2920,814,3
2921,815,3
2922,816,3
2923,817,3
2924,818,3
2925,819,3
2926,820,3
2927,821,3
2928,822,3
2929,823,3
2930,824,3
2931,825,3
2932,826,3
2933,827,3
2934,828,3
2935,829,3
2936,830,3
2937,831,3
2938,832,3
2939,833,3
2940,834,3
2941,835,3
2942,836,3
2943,837,3
2944,838,3
2945,839,3
2946,840,3
2947,841,3
2948,842,3
2949,843,3
2950,844,3
2951,845,3
2952,846,3
2953,847,3
2954,848,3
2955,849,3
2956,850,3
2957,851,3
2958,852,3
2959,853,3
2960,854,3
2961,855,3
2962,856,3
2963,857,3
2964,858,3
2965,859,3
2966,860,3
2967,861,3
2968,862,3
2969,863,3
2970,864,3
2971,865,3
2972,866,3
2973,867,3
2974,868,3
2975,869,3
2976,870,3
2977,871,3
2978,872,3
2979,873,3
2980,874,3
2981,875,3
2982,876,3
2983,877,3
2984,878,3
2985,879,3
2986,880,3
2987,881,3
2988,882,3
2989,883,3
2990,884,3
2991,885,3
2992,886,3
2993,887,3
2994,888,3
2995,889,3
2996,890,3
2997,891,3
2998,892,3
2999,893,3
3000,894,3
3001,895,3
3002,896,3
3003,897,3
3004,898,3
3005,899,3
3006,900,3
3007,901,3
3008,902,3
3009,903,3
3010,904,3
3011,905,3
3012,906,3
3013,907,3
3014,908,3
3015,909,3
3016,910,3
3017,911,3
3018,912,3
3019,913,3
3020,914,3
3021,915,3
3022,916,3
3023,917,3
3024,918,3
3025,919,3
3026,920,3
3027,921,3
3028,922,3
3029,923,3
3030,924,3
3031,925,3
3032,926,3
3033,927,3
3034,928,3
3035,929,3
3036,930,3
3037,931,3
3038,932,3
3039,933,3
3040,934,3
3041,935,3
3042,936,3
3043,937,3
3044,938,3
3045,939,3
3046,940,3
3047,941,3
3048,942,3
3049,943,3
3050,944,3
3051,945,3
3052,946,3
3053,947,3
3054,948,3
3055,949,3
3056,950,3
3057,951,3
3058,952,3
3059,953,3
3060,954,3
3061,955,3
3062,956,3
3063,957,3
3064,958,3
3065,959,3
3066,960,3
3067,961,3
3068,962,3
3069,963,3
3070,964,3
3071,965,3
3072,966,3
3073,967,3
3074,968,3
3075,969,3
3076,970,3
3077,971,3
3078,972,3
3079,973,3
3080,974,3
3081,975,3
3082,976,3
3083,977,3
3084,978,3
3085,979,3
3086,980,3
3087,981,3
3088,982,3
3089,983,3
3090,984,3
3091,985,3
3092,986,3
3093,987,3
3094,988,3
3095,989,3
3096,990,3
3097,991,3
3098,992,3
3099,993,3
3100,994,3
3101,995,3
3102,996,3
3103,997,3
3104,998,3
3105,999,3
3106,1000,3
3107,1001,3
3108,1002,3
3109,1003,3
3110,1004,3
3111,1005,3
3112,1006,3
3113,1007,3
3114,1008,3
3115,1009,3
3116,1010,3
3117,1011,3
3118,1012,3
3119,1013,3
3120,1014,3
3121,1015,3
3122,1016,3
3123,1017,3
3124,1018,3
3125,1019,3
3126,1020,3
3127,1021,3
3128,1022,3
3129,1023,3
3130,1024,3
3131,1025,3
3132,1026,3
3133,1027,3
3134,1028,3
3135,1029,3
3136,1030,3
3137,1031,3
3138,1032,3
3139,1033,3
3140,1034,3
3141,1035,3
3142,1036,3
3143,1037,3
3144,1038,3
3145,1039,3
3146,1040,3
3147,1041,3
3148,1042,3
3149,1043,3
3150,1044,3
3151,1045,3
3152,1046,3
3153,1047,3
3154,1048,3
3155,1049,3
3156,1050,3
3157,1051,3
3158,1052,3
3159,1053,4
3160,1054,4
3161,1055,4
3162,1056,4
3163,1057,4
3164,1058,4
3165,1059,4
3166,1060,4
3167,1061,4
3168,1062,4
3169,1063,4
3170,1064,4
3171,1065,4
3172,1066,4
3173,1067,4
3174,1068,4
3175,1069,4
3176,1070,4
3177,1071,4
3178,1072,4
3179,1073,4
3180,1074,4
3181,1075,4
3182,1076,4
3183,1077,4
3184,1078,4
3185,1079,4
3186,1080,4
3187,1081,4
3188,1082,4
3189,1083,4
3190,1084,4
3191,1085,4
3192,1086,4
3193,1087,4
3194,1088,4
3195,1089,4
3196,1090,4
3197,1091,4
3198,1092,4
3199,1093,4
3200,1094,4
3201,1095,4
3202,1096,4
3203,1097,4
3204,1098,4
3205,1099,4
3206,1100,4
3207,1101,4
3208,1102,4
3209,1103,4
3210,1104,4
3211,1105,4
3212,1106,4
3213,1107,4
3214,1108,4
3215,1109,4
3216,1110,4
3217,1111,4
3218,1112,4
3219,1113,4
3220,1114,4
3221,1115,4
3222,1116,4
3223,1117,4
3224,1118,4
3225,1119,4
3226,1120,4
3227,1121,4
3228,1122,4
3229,1123,4
3230,1124,4
3231,1125,4
3232,1126,4
3233,1127,4
3234,1128,4
3235,1129,4
3236,1130,4
3237,1131,4
3238,1132,4
3239,1133,4
3240,1134,4
3241,1135,4
3242,1136,4
3243,1137,4
3244,1138,4
3245,1139,4
3246,1140,4
3247,1141,4
3248,1142,4
3249,1143,4
3250,1144,4
3251,1145,4
3252,1146,4
3253,1147,4
3254,1148,4
3255,1149,4
3256,1150,4
3257,1151,4
3258,1152,4
3259,1153,4
3260,1154,4
3261,1155,4
3262,1156,4
3263,1157,4
3264,1158,4
3265,1159,4
3266,1160,4
3267,1161,4
3268,1162,4
3269,1163,4
3270,1164,4
3271,1165,4
3272,1166,4
3273,1167,4
3274,1168,4
3275,1169,4
3276,1170,4
3277,1171,4
3278,1172,4
3279,1173,4
3280,1174,4
3281,1175,4
3282,1176,4
3283,1177,4
3284,1178,4
3285,1179,4
3286,1180,4
3287,1181,4
3288,1182,4
3289,1183,4
3290,1184,4
3291,1185,4
3292,1186,4
3293,1187,4
3294,1188,4
3295,1189,4
3296,1190,4
3297,1191,4
3298,1192,4
3299,1193,4
3300,1194,4
3301,1195,4
3302,1196,4
3303,1197,4
3304,1198,4
3305,1199,4
3306,1200,4
3307,1201,4
3308,1202,4
3309,1203,4
3310,1204,4
3311,1205,4
3312,1206,4
3313,1207,4
3314,1208,4
3315,1209,4
3316,1210,4
3317,1211,4
3318,1212,4
3319,1213,4
3320,1214,4
3321,1215,4
3322,1216,4
3323,1217,4
3324,1218,4
3325,1219,4
3326,1220,4
3327,1221,4
3328,1222,4
3329,1223,4
3330,1224,4
3331,1225,4
3332,1226,4
3333,1227,4
3334,1228,4
3335,1229,4
3336,1230,4
3337,1231,4
3338,1232,4
3339,1233,4
3340,1234,4
3341,1235,4
3342,1236,4
3343,1237,4
3344,1238,4
3345,1239,4
3346,1240,4
3347,1241,4
3348,1242,4
3349,1243,4
3350,1244,4
3351,1245,4
3352,1246,4
3353,1247,4
3354,1248,4
3355,1249,4
3356,1250,4
3357,1251,4
3358,1252,4
3359,1253,4
3360,1254,4
3361,1255,4
3362,1256,4
3363,1257,4
3364,1258,4
3365,1259,4
3366,1260,4
3367,1261,4
3368,1262,4
3369,1263,4
3370,1264,4
3371,1265,4
3372,1266,4
3373,1267,4
3374,1268,4
3375,1269,4
3376,1270,4
3377,1271,4
3378,1272,4
3379,1273,4
3380,1274,4
3381,1275,4
3382,1276,4
3383,1277,4
3384,1278,4
3385,1279,4
3386,1280,4
3387,1281,4
3388,1282,4
3389,1283,4
3390,1284,4
3391,1285,4
3392,1286,4
3393,1287,4
3394,1288,4
3395,1289,4
3396,1290,4
3397,1291,4
3398,1292,4
3399,1293,4
3400,1294,4
3401,1295,4
3402,1296,4
3403,1297,4
3404,1298,4
3405,1299,4
3406,1300,4
